pair_key,substance_a_id,substance_b_id,code,status,confidence,risk_score,headline,mechanism_primary_category,evidence_tier,validation_flags,source_refs,source_text
ayahuasca|ayahuasca,ayahuasca,ayahuasca,SELF,not_applicable,not_applicable,-1,Same entity selected; this is not an interaction pair.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;mechanism_category_unknown,not_available,n/a
ayahuasca|five_meo_dmt,ayahuasca,five_meo_dmt,DANGEROUS,missing_evidence,high,5,Source explicitly states 5-MeO-DMT may be dangerous with MAOIs.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;mechanism_category_unknown,malcolm_ayahuasca_drug_interaction_2022,Ayahuasca and Drug Interaction.pdf (summary slide text)
ayahuasca|lsd,ayahuasca,lsd,LOW_MOD,missing_evidence,medium,2,Listed in lower-risk ceremonial/recreational combinations.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;mechanism_category_unknown,malcolm_ayahuasca_drug_interaction_2022,Ayahuasca and Drug Interaction.pdf (The Good slide)
alcohol|ayahuasca,alcohol,ayahuasca,DANGEROUS,missing_evidence,high,5,Advised against; MAOI context and stated potential for dangerous outcomes.,maoi_potentiation,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier,alma_ayahuasca_medication_interactions_2025,ayahuasca-interactions.pdf (p1 text)
ayahuasca|ssri,ayahuasca,ssri,DANGEROUS,missing_evidence,high,5,Serotonin syndrome risk explicitly discussed in MAOI context.,maoi_potentiation,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier,alma_ayahuasca_medication_interactions_2025;malcolm_ayahuasca_drug_interaction_2022,ayahuasca-interactions.pdf + Ayahuasca and Drug Interaction.pdf
ayahuasca|snri,ayahuasca,snri,DANGEROUS,missing_evidence,high,5,SNRIs included in contraindicated antidepressant list.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;mechanism_category_unknown,malcolm_ayahuasca_drug_interaction_2022,Ayahuasca and Drug Interaction.pdf (Drug Contraindications slide)
ayahuasca|tricyclic_ad,ayahuasca,tricyclic_ad,DANGEROUS,missing_evidence,high,5,Specific tricyclics listed as contraindicated with MAOI context.,maoi_potentiation,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier,malcolm_ayahuasca_drug_interaction_2022,Ayahuasca and Drug Interaction.pdf (Drug Contraindications slide)
ayahuasca|maoi_pharma,ayahuasca,maoi_pharma,DANGEROUS,missing_evidence,high,5,Other MAOIs explicitly called out as interaction risks.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;mechanism_category_unknown,alma_ayahuasca_medication_interactions_2025,ayahuasca-interactions.pdf (p1 text)
atypical_ad|ayahuasca,atypical_ad,ayahuasca,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
ayahuasca|ndri_bupropion,ayahuasca,ndri_bupropion,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
amphetamine_stims|ayahuasca,amphetamine_stims,ayahuasca,DANGEROUS,missing_evidence,high,5,Explicitly contraindicated; risk includes hypertensive crisis/serotonin toxicity.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;mechanism_category_unknown,malcolm_ayahuasca_drug_interaction_2022,Ayahuasca and Drug Interaction.pdf (Drug Contraindications slide)
ayahuasca|methylphenidate,ayahuasca,methylphenidate,DANGEROUS,missing_evidence,high,5,Listed in contraindicated stimulant class with ayahuasca.,sympathomimetic_load,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier,malcolm_ayahuasca_drug_interaction_2022,Ayahuasca and Drug Interaction.pdf (Drug Contraindications slide)
ayahuasca|cocaine,ayahuasca,cocaine,DANGEROUS,missing_evidence,high,5,Listed as contraindicated with ayahuasca.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;mechanism_category_unknown,malcolm_ayahuasca_drug_interaction_2022,Ayahuasca and Drug Interaction.pdf (Drug Contraindications slide)
ayahuasca|mdma_2cx_dox_nbome,ayahuasca,mdma_2cx_dox_nbome,DANGEROUS,missing_evidence,high,5,Ceremonial/recreational serotonergic phenethylamines listed as contraindicated.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;mechanism_category_unknown,malcolm_ayahuasca_drug_interaction_2022,Ayahuasca and Drug Interaction.pdf (Drug Contraindications slide)
ayahuasca|serotonergic_opioids,ayahuasca,serotonergic_opioids,DANGEROUS,missing_evidence,high,5,Methadone/tramadol/meperidine/tapentadol listed as contraindicated.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;mechanism_category_unknown,malcolm_ayahuasca_drug_interaction_2022,Ayahuasca and Drug Interaction.pdf (Drug Contraindications slide)
psilocybin|psilocybin,psilocybin,psilocybin,SELF,not_applicable,not_applicable,-1,Same entity selected; this is not an interaction pair.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;mechanism_category_unknown,not_available,n/a
nn_dmt|psilocybin,nn_dmt,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
five_meo_dmt|psilocybin,five_meo_dmt,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
