pair_key,substance_a_id,substance_b_id,code,status,confidence,risk_score,headline,mechanism_primary_category,evidence_tier,validation_flags,source_refs,source_text
ayahuasca|salvia,ayahuasca,salvia,CAUTION,low_confidence,low,3,"Salvia is non-serotonergic, but same-session use with classic psychedelics can become unsafe because disorientation, dysphoria, and accident risk stack badly.",unknown,mechanistic_inference,missing_timing;low_confidence;mechanism_category_unknown,entheogen_interactions_research_update,entheogen-interactions-research-update
atypical_ad|ayahuasca,atypical_ad,ayahuasca,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
ayahuasca|ndri_bupropion,ayahuasca,ndri_bupropion,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
antipsychotics|ayahuasca,antipsychotics,ayahuasca,UNSAFE,low_confidence,low,4,Usually a psychiatric contraindication rather than a classic serotonergic-toxicity problem; many antipsychotics will also strongly suppress DMT effects.,serotonergic_toxicity,mechanistic_inference,missing_timing;low_confidence,entheogen_interactions_research_update;malcolm_ayahuasca_drug_interaction_2022,entheogen-interactions-research-update; Ayahuasca and Drug Interaction.pdf (The Good + Contraindications slides)
antihypertensives|ayahuasca,antihypertensives,ayahuasca,CAUTION,low_confidence,low,3,"Class-dependent cardiovascular caution; stable ACEi/ARB therapy is often less concerning than beta-blockers, clonidine, or rate-controlling calcium-channel blockers.",cardiovascular_load,mechanistic_inference,low_confidence,alma_ayahuasca_medication_interactions_2025;entheogen_interactions_research_update;malcolm_ayahuasca_drug_interaction_2022,entheogen-interactions-research-update; ayahuasca-interactions.pdf; Ayahuasca and Drug Interaction.pdf
ayahuasca|lamotrigine,ayahuasca,lamotrigine,LOW_MOD,low_confidence,low,2,"Lamotrigine currently looks substantially lower-risk than lithium with classic psychedelics, with mostly observational evidence of minimal effect modulation.",seizure_threshold,observational_report,missing_timing;low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
ayahuasca|ketamine,ayahuasca,ketamine,UNSAFE,low_confidence,low,4,"Same-session ayahuasca plus ketamine is a poor fit: dissociation, sedation, impaired mobility, and purge-related aspiration/fall risk outweigh any novelty value.",glutamatergic_dissociation,mechanistic_inference,missing_timing;low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
ayahuasca|clonidine_guanfacine,ayahuasca,clonidine_guanfacine,CAUTION,low_confidence,low,3,"Alpha-2 agonists may be potentiated around harmala use and can tilt an ayahuasca session toward hypotension, bradycardia, or over-sedation.",maoi_potentiation,mechanistic_inference,low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
ayahuasca|beta_blockers_ccb,ayahuasca,beta_blockers_ccb,UNSAFE,low_confidence,low,4,Rate-controlling beta-blockers and certain calcium-channel blockers are higher-concern than generic blood-pressure medication because ayahuasca can create pressure swings while these drugs limit compensatory responses.,cardiovascular_load,mechanistic_inference,missing_timing;low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
nn_dmt|psilocybin,nn_dmt,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
five_meo_dmt|psilocybin,five_meo_dmt,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
mescaline_peyote|psilocybin,mescaline_peyote,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
psilocybin|yopo,psilocybin,yopo,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
lsd|psilocybin,lsd,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
psilocybin|salvia,psilocybin,salvia,CAUTION,low_confidence,low,3,"Salvia is non-serotonergic, but same-session use with classic psychedelics can become unsafe because disorientation, dysphoria, and accident risk stack badly.",unknown,mechanistic_inference,missing_timing;low_confidence;mechanism_category_unknown,entheogen_interactions_research_update,entheogen-interactions-research-update
kambo|psilocybin,kambo,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
psilocybin|tobacco_rape,psilocybin,tobacco_rape,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
cannabis|psilocybin,cannabis,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
alcohol|psilocybin,alcohol,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
amphetamine_stims|psilocybin,amphetamine_stims,psilocybin,CAUTION,low_confidence,low,3,Prescription or recreational amphetamine stimulants add cardiovascular and anxiety load to psilocybin even without MAOI potentiation.,maoi_potentiation,mechanistic_inference,missing_timing;low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
methylphenidate|psilocybin,methylphenidate,psilocybin,CAUTION,low_confidence,low,3,"Outside the ayahuasca/MAOI context this is not the same level of crisis risk, but additive heart-rate, blood-pressure, and anxiety load still warrant caution.",maoi_potentiation,mechanistic_inference,missing_timing;low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
cocaine|psilocybin,cocaine,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
mdma_2cx_dox_nbome|psilocybin,mdma_2cx_dox_nbome,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
psilocybin|serotonergic_opioids,psilocybin,serotonergic_opioids,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
antihypertensives|psilocybin,antihypertensives,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
lamotrigine|psilocybin,lamotrigine,psilocybin,LOW_MOD,low_confidence,low,2,"Current observational evidence suggests lower interaction concern than lithium, with many reports describing little change in intensity and no seizure signal.",seizure_threshold,observational_report,missing_timing;low_confidence,entheogen_interactions_research_update,entheogen-interactions-research-update
ketamine|psilocybin,ketamine,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
clonidine_guanfacine|psilocybin,clonidine_guanfacine,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
beta_blockers_ccb|psilocybin,beta_blockers_ccb,psilocybin,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
five_meo_dmt|nn_dmt,five_meo_dmt,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
mescaline_peyote|nn_dmt,mescaline_peyote,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
nn_dmt|yopo,nn_dmt,yopo,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
lsd|nn_dmt,lsd,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
nn_dmt|salvia,nn_dmt,salvia,CAUTION,low_confidence,low,3,"Salvia is non-serotonergic, but same-session use with classic psychedelics can become unsafe because disorientation, dysphoria, and accident risk stack badly.",unknown,mechanistic_inference,missing_timing;low_confidence;mechanism_category_unknown,entheogen_interactions_research_update,entheogen-interactions-research-update
kambo|nn_dmt,kambo,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
nn_dmt|tobacco_rape,nn_dmt,tobacco_rape,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
cannabis|nn_dmt,cannabis,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
alcohol|nn_dmt,alcohol,nn_dmt,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
nn_dmt|ssri,nn_dmt,ssri,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
nn_dmt|snri,nn_dmt,snri,UNKNOWN,unknown,low,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,unknown,not_applicable,missing_mechanism;missing_timing;missing_evidence_tier;low_confidence;unknown_classification;mechanism_category_unknown;source_gap,source_gap,source-gap
